entry_id,trade_timestamp,contract_symbol,ltp,open_interest,implied_volatility
OPT_1001,2026/08/04-10:13:00 AM,  NIFTY_19500_PE  ,₹93.26,49265.0,29.84%
OPT_1002,2026/08/04-10:00:00 AM,  BANKNIFTY_19000_CE  ,₹41.86,0.0,N/A
OPT_1003,2026/08/04-10:57:00 AM,  BANKNIFTY_19100_PE  ,₹210.35,0.0,17.56%
OPT_1004,2026/08/04-11:06:00 AM,  BANKNIFTY_19000_CE  ,$139.18,0.0,12.87%
OPT_1005,2026/08/04-01:11:00 PM,  NIFTY_19300_CE  ,197.69,,26.09%
OPT_1006,2026/08/04-09:39:00 AM,  NIFTY_19600_PE  ,₹344.98,,24.71%
OPT_1007,2026/08/04-12:22:00 PM,  NIFTY_19200_PE  ,$81.23,0.0,24.18%
OPT_1008,2026/08/04-10:43:00 AM,  NIFTY_19100_PE  ,139.01,0.0,18.49%
OPT_1009,2026/08/04-09:44:00 AM,  NIFTY_19600_CE  ,$283.72,18546.0,30.86%
OPT_1010,2026/08/04-11:57:00 AM,  NIFTY_19500_PE  ,144.51,31071.0,16.93%
OPT_1011,2026/08/04-02:03:00 PM,  BANKNIFTY_19500_PE  ,$315.26,24723.0,14.77%
OPT_1012,2026/08/04-01:28:00 PM,  NIFTY_19600_CE  ,₹302.77,42120.0,20.44%
OPT_1013,2026/08/04-09:48:00 AM,  BANKNIFTY_19300_PE  ,189.9,0.0,25.63%
OPT_1014,2026/08/04-01:50:00 PM,  BANKNIFTY_19600_PE  ,$47.93,,N/A
OPT_1015,2026/08/04-11:30:00 AM,  NIFTY_19400_CE  ,$305.98,0.0,15.06%
OPT_1016,2026/08/04-10:38:00 AM,  NIFTY_19400_PE  ,₹176.13,,16.82%
OPT_1017,2026/08/04-02:06:00 PM,  NIFTY_19000_PE  ,287.45,9241.0,30.94%
OPT_1018,2026/08/04-10:40:00 AM,  BANKNIFTY_19400_PE  ,337.88,0.0,18.23%
OPT_1019,2026/08/04-12:27:00 PM,  BANKNIFTY_19400_PE  ,₹51.14,,N/A
