District code,State name,District name,Population,Male,Female,Male_Literate,Female_Literate,Literate,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households with any usual member covered under a health insurance/financing sche,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to c,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to con,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastoli,Female Moderately or severely elevated blood pressure (%),Female Elevated blood pressure or taking medicine to control blood pressure (%),Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic ,Male Moderately or severely elevated blood pressure (%),Male Elevated blood pressure or taking medicine to control blood pressure (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Average GDP,total facilities
1,jammu and kashmir,kupwara,870354,474190,396164,282823,156831,439654,600759,178435,89679,1481,10.4,6.5,7.9,10.5,2.1,18.1,11.5,2.7,18.9,6.8,49.8,,
2,jammu and kashmir,badgam,753745,398041,355704,207741,127908,335649,503223,160933,88978,611,5.2,7.3,6.9,10.9,4.5,19.9,11,3.7,18.6,5.4,42.9,,
3,jammu and kashmir,leh(ladakh),133487,78971,54516,62834,30936,93770,70703,41515,21019,250,16.2,6.1,6.4,8.7,0.7,12.8,9.2,0.8,14.7,4.4,39.5,,
4,jammu and kashmir,kargil,140802,77785,63017,56301,29935,86236,87532,35561,17488,221,13.6,7.3,10.2,12,2.7,18.7,13.2,3.8,20.1,1.9,31.9,113172.8571,100
5,jammu and kashmir,punch,476835,251899,224936,163333,98391,261724,304979,109818,61334,704,11.1,7.8,7,11.4,1.9,17.9,11.7,1.6,16.3,2.3,38.8,,
6,jammu and kashmir,rajouri,642415,345351,297064,224469,139640,364109,404903,153165,83319,1028,16.4,8,8.4,11.3,2.7,16.5,9.6,2.4,13.8,3.2,44.8,,
7,jammu and kashmir,kathua,616435,326109,290326,228499,160705,389204,357864,160123,97684,764,7,12.4,11.8,15.3,1.9,18.9,19.4,2.2,23.6,2.1,33.3,71263.71429,165
8,jammu and kashmir,baramula,1008039,534733,473306,337170,207979,545149,636524,239659,130513,1343,6.5,10,8.3,13.6,3.9,23.7,11.7,3.2,19,6.5,34.7,,
9,jammu and kashmir,bandipore,392232,207680,184552,117058,68921,185979,252378,90465,48802,587,9.1,8.7,8,8.8,5,21.4,8.7,3.3,17.4,9.1,40.1,1067304.571,157
10,jammu and kashmir,srinagar,1236829,651124,585705,431746,316838,748584,693238,351561,190330,1700,17.9,7.4,5.7,9.9,1.6,20.1,10.4,1.6,18.1,1.9,36.5,,
11,jammu and kashmir,ganderbal,297446,158720,138726,90581,52695,143276,194165,66945,35911,425,8.3,9.7,7.8,10.7,3.2,21.5,10.9,3,19.1,6.3,36.3,,325
12,jammu and kashmir,pulwama,560440,293064,267376,178326,115632,293958,342601,137032,80111,696,9.9,7.2,4.8,14.2,4,22.6,14.1,2.3,19.1,3.3,41.2,,
13,jammu and kashmir,shupiyan,266215,136480,129735,80355,56145,136500,170086,60752,35158,219,8.4,5.4,5.1,11.5,1.4,15.1,11.5,1.1,14.2,5,47,,
14,jammu and kashmir,anantnag,1078692,559767,518925,324417,221115,545532,704145,239988,133519,1040,7.3,10.4,9.9,11.5,3.8,20,11.5,3.7,19.4,2.9,47,,
15,jammu and kashmir,kulgam,424483,217620,206863,125052,84033,209085,266858,99870,57253,502,4.2,6.4,6.1,19.4,3.1,25.8,15.9,2.2,19.9,3.3,37.7,138133.7143,288
16,jammu and kashmir,doda,409936,213641,196295,138620,80463,219083,263576,93189,52744,427,7.6,9.9,9.9,12.6,3.9,23.1,14.6,3.3,21.5,3.2,37.1,,
17,jammu and kashmir,ramban,283713,149132,134581,82938,41127,124065,188526,61604,33220,363,9.2,7.5,5.5,11.5,2,17.5,11.1,1.7,15.7,2.8,36.4,,4
18,jammu and kashmir,kishtwar,230696,120165,110531,68700,38806,107506,145931,53415,31084,266,16.4,5.3,6.8,4.3,2.2,13.2,5.3,1.7,13.3,3.5,41.3,,
19,jammu and kashmir,udhampur,554985,296784,258201,197543,124811,322354,339145,140785,74757,298,16.8,9.9,8.8,12.9,3.4,20.1,13,2.7,18.3,4.7,45.2,105925.4286,644
20,jammu and kashmir,reasi,314667,166461,148206,93937,56605,150542,203967,70767,39743,190,11.2,7.1,7.1,11,1.2,15.4,13.3,1.1,17.6,4,41.7,,
21,jammu and kashmir,jammu,1529958,813821,716137,641916,495219,1137135,816827,435895,275585,1651,23.3,9.9,8.6,10.4,3.6,20.5,13.3,3.9,22.6,0.8,25.7,,
22,jammu and kashmir,samba,318898,169124,149774,130312,97827,228139,177277,88246,53022,353,19,10.3,11.2,11.6,4,21.1,12.4,5.1,21.5,3,38.9,,
23,himachal pradesh,chamba,519080,261320,257760,186064,137778,323842,306555,130606,81566,353,26.8,10.6,11.5,11.9,3.5,17.8,19.3,2.8,23.2,2.5,40.3,20919.85714,119
